antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
ACUCAR,CAFE,0.6780684104627767,0.5261569416498993,0.4295774647887324,0.6335311572700296,1.204072601006519,0.07280706371022921,1.292996847481651
CAFE,ACUCAR,0.5261569416498993,0.6780684104627767,0.4295774647887324,0.8164435946462716,1.2040726010065192,0.07280706371022921,1.7538564721663321
ACUCAR,CAFE COM LEITE,0.6780684104627767,0.5261569416498993,0.41448692152917505,0.6112759643916914,1.1617749686526602,0.05771652045067188,1.218970310412091
CAFE COM LEITE,ACUCAR,0.5261569416498993,0.6780684104627767,0.41448692152917505,0.7877629063097515,1.1617749686526604,0.05771652045067188,1.5168488407925036
MARGARINA COM OU SEM SAL,ACUCAR,0.448692152917505,0.6780684104627767,0.3641851106639839,0.8116591928251121,1.1970166730981624,0.059941135748090124,1.7093034396857336
PAO CACETINHO,ACUCAR,0.22132796780684105,0.6780684104627767,0.18712273641851107,0.8454545454545455,1.246857297005665,0.037047233096769744,2.0830867558290924
PAO FRANCES,ACUCAR,0.1358148893360161,0.6780684104627767,0.11167002012072434,0.8222222222222222,1.2125947906363337,0.019578233991473987,1.810865191146881
PAO CACETINHO,CAFE,0.22132796780684105,0.5261569416498993,0.13380281690140844,0.6045454545454545,1.1489831392317051,0.017349570258573574,1.198223825712898
MARGARINA COM OU SEM SAL,CAFE COM LEITE,0.448692152917505,0.5261569416498993,0.28772635814889336,0.6412556053811659,1.218753483267455,0.05164386722750994,1.3208375251509055
PAO CACETINHO,CAFE COM LEITE,0.22132796780684105,0.5261569416498993,0.13279678068410464,0.6,1.1403441682600384,0.016343534041269772,1.1846076458752515
PAO CACETINHO,MARGARINA COM OU SEM SAL,0.22132796780684105,0.448692152917505,0.15593561368209255,0.7045454545454545,1.5702201386057886,0.056627491305984795,1.8659650208945981
PAO FRANCES,MARGARINA COM OU SEM SAL,0.1358148893360161,0.448692152917505,0.10160965794768612,0.7481481481481481,1.6673974422853346,0.04067058285325636,2.189016451651083
"AGUA, ACUCAR",CAFE,0.3209255533199195,0.5261569416498993,0.20824949698189135,0.6489028213166145,1.233287580093145,0.03939228934978081,1.3496065679793048
"AGUA, CAFE",ACUCAR,0.24346076458752516,0.6780684104627767,0.20824949698189135,0.8553719008264462,1.261483189052652,0.043166443327975895,2.2259269905145147
