antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
BISCOITO SALGADO,ACUCAR,0.18873239436619718,0.7924882629107981,0.16338028169014085,0.8656716417910448,1.092346325245809,0.013812074323877543,1.544809598330726
BOLACHA SALGADA,ACUCAR,0.13615023474178403,0.7924882629107981,0.12018779342723004,0.8827586206896552,1.1139075012256905,0.012290330401816221,1.7699530516431925
ACUCAR,CAFE,0.7924882629107981,0.5737089201877934,0.5014084507042254,0.6327014218009479,1.102826537181685,0.046750865128171226,1.1606118431016206
CAFE,ACUCAR,0.5737089201877934,0.7924882629107981,0.5014084507042254,0.8739770867430442,1.102826537181685,0.046750865128171226,1.6466191085909399
ACUCAR,CAFE COM LEITE,0.7924882629107981,0.5887323943661972,0.5051643192488263,0.637440758293839,1.0827343023651332,0.038600806718243785,1.1343459449507505
CAFE COM LEITE,ACUCAR,0.5887323943661972,0.7924882629107981,0.5051643192488263,0.8580542264752792,1.082734302365133,0.038600806718243785,1.4619085298306702
CUSCUZ,ACUCAR,0.19718309859154928,0.7924882629107981,0.1596244131455399,0.8095238095238095,1.0214962762356128,0.0033591218673543755,1.08943661971831
MARGARINA COM OU SEM SAL,ACUCAR,0.4892018779342723,0.7924882629107981,0.4262910798122066,0.871401151631478,1.0995760977340334,0.03860433335537489,1.6136360451264815
PAO DE SAL,ACUCAR,0.18403755868544602,0.7924882629107981,0.1643192488262911,0.8928571428571429,1.1266503046716319,0.018471643633317908,1.9367762128325519
ADOCANTE ARTIFICIAL,CAFE COM LEITE,0.15586854460093896,0.5887323943661972,0.11737089201877934,0.7530120481927711,1.2790396033896352,0.025606030549494146,1.6651322569563727
BOLACHA SALGADA,AGUA,0.13615023474178403,0.8093896713615023,0.11549295774647887,0.8482758620689655,1.0480438435074806,0.005294363993034901,1.2562953478446441
CAFE,AGUA,0.5737089201877934,0.8093896713615023,0.48262910798122066,0.8412438625204584,1.039355816223072,0.018275033613260216,1.2006485649290943
CUSCUZ,AGUA,0.19718309859154928,0.8093896713615023,0.17652582159624414,0.8952380952380953,1.1060656281073915,0.016927858229187354,1.8194622279129333
PAO DE SAL,AGUA,0.18403755868544602,0.8093896713615023,0.1511737089201878,0.8214285714285714,1.0148740470666224,0.0022156097776014627,1.067417840375587
BANANA OURO,CAFE COM LEITE,0.2084507042253521,0.5887323943661972,0.14272300469483568,0.6846846846846847,1.162981162981163,0.020001322488924153,1.3043058350100605
BISCOITO SALGADO,CAFE COM LEITE,0.18873239436619718,0.5887323943661972,0.12488262910798122,0.6616915422885572,1.1239258254183626,0.01376975467830456,1.215658657829329
