antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
ACUCAR,CAFE,0.6816380449141347,0.7569352708058125,0.571994715984148,0.8391472868217055,1.1086116860803334,0.056038837865522884,1.5111012080024193
CAFE,ACUCAR,0.7569352708058125,0.6816380449141347,0.571994715984148,0.7556719022687609,1.1086116860803334,0.056038837865522884,1.3030100018871487
MARGARINA COM OU SEM SAL,ACUCAR,0.3751651254953765,0.6816380449141347,0.27212681638044917,0.7253521126760564,1.0641309094879354,0.016399993717814754,1.159164041594689
PAO DE QUEIJO,ACUCAR,0.23778071334214002,0.6816380449141347,0.16380449141347425,0.688888888888889,1.0106373815676144,0.0017241108526496185,1.0233062842045673
PAO FRANCES,ACUCAR,0.36856010568031705,0.6816380449141347,0.26023778071334214,0.7060931899641577,1.0358770248117586,0.009013190844063934,1.0832071398653222
AGUA,CAFE,0.13738441215323646,0.7569352708058125,0.11228533685601057,0.8173076923076923,1.0797590280574574,0.008294229638303174,1.330459570326079
MARGARINA COM OU SEM SAL,CAFE,0.3751651254953765,0.7569352708058125,0.30250990752972257,0.806338028169014,1.0652668190644738,0.018534191665983135,1.2550978743845316
PAO DE QUEIJO,CAFE,0.23778071334214002,0.7569352708058125,0.1955085865257596,0.8222222222222223,1.086251696722901,0.015523977879727563,1.3672391017173056
PAO FRANCES,CAFE,0.36856010568031705,0.7569352708058125,0.2906208718626156,0.7885304659498208,1.0417409471623287,0.011644728461265963,1.1494077872064123
MARGARINA COM OU SEM SAL,PAO FRANCES,0.3751651254953765,0.36856010568031705,0.30647291941875826,0.8169014084507042,2.216467262355495,0.16820202111861288,3.4486332689767303
PAO FRANCES,MARGARINA COM OU SEM SAL,0.36856010568031705,0.3751651254953765,0.30647291941875826,0.8315412186379928,2.216467262355495,0.16820202111861288,3.7091261699317
"MARGARINA COM OU SEM SAL, ACUCAR",CAFE,0.27212681638044917,0.7569352708058125,0.22589167767503301,0.8300970873786406,1.0966553143902809,0.019909292224574132,1.4306095489715025
"MARGARINA COM OU SEM SAL, CAFE",ACUCAR,0.30250990752972257,0.6816380449141347,0.22589167767503301,0.7467248908296944,1.0954859348024781,0.019689415739317234,1.2569808226666064
"ACUCAR, PAO DE QUEIJO",CAFE,0.16380449141347425,0.7569352708058125,0.1453104359313078,0.8870967741935484,1.1719585655576197,0.021321038864041283,2.152859030005661
"PAO DE QUEIJO, CAFE",ACUCAR,0.1955085865257596,0.6816380449141347,0.1453104359313078,0.7432432432432432,1.090378168866541,0.012044345247963079,1.2399360355975804
"ACUCAR, PAO FRANCES",CAFE,0.26023778071334214,0.7569352708058125,0.2192866578599736,0.8426395939086295,1.1132254320922033,0.022303502841816314,1.544637150040483
"PAO FRANCES, CAFE",ACUCAR,0.2906208718626156,0.6816380449141347,0.2192866578599736,0.7545454545454545,1.1069591261451728,0.021188414952299034,1.2970301873868584
"MARGARINA COM OU SEM SAL, ACUCAR",PAO FRANCES,0.27212681638044917,0.36856010568031705,0.22060766182298547,0.8106796116504854,2.1995858997111735,0.12031257361935889,3.335297903329607
"MARGARINA COM OU SEM SAL, PAO FRANCES",ACUCAR,0.30647291941875826,0.6816380449141347,0.22060766182298547,0.7198275862068966,1.056026129377172,0.011704060211255946,1.1363072858449346
"ACUCAR, PAO FRANCES",MARGARINA COM OU SEM SAL,0.26023778071334214,0.3751651254953765,0.22060766182298547,0.8477157360406091,2.2595803245871164,0.1229755221630262,4.10308234258036
"MARGARINA COM OU SEM SAL, PAO FRANCES",CAFE,0.30647291941875826,0.7569352708058125,0.24438573315719947,0.7974137931034483,1.0534768610459169,0.012405570902313756,1.1998088760223726
