antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
AGUA,ACUCAR,0.6835820895522388,0.673134328358209,0.4746268656716418,0.6943231441048036,1.0314778415747636,0.014484294943194531,1.069317697228145
ACUCAR,AGUA,0.673134328358209,0.6835820895522388,0.4746268656716418,0.70509977827051,1.0314778415747636,0.014484294943194531,1.072965997082258
BOLACHA SALGADA,ACUCAR,0.29253731343283584,0.673134328358209,0.21343283582089553,0.7295918367346939,1.0838725734196117,0.016515927823568727,1.2087862573922836
CAFE,ACUCAR,0.5656716417910448,0.673134328358209,0.39850746268656717,0.7044854881266491,1.0465748936693013,0.017734462018266894,1.1060900852878466
ACUCAR,CAFE COM LEITE,0.673134328358209,0.6417910447761194,0.4582089552238806,0.6807095343680709,1.0606404372711804,0.0261973713521943,1.1218905472636815
CAFE COM LEITE,ACUCAR,0.6417910447761194,0.673134328358209,0.4582089552238806,0.713953488372093,1.0606404372711804,0.0261973713521943,1.1427011285038224
MARGARINA COM OU SEM SAL,ACUCAR,0.5283582089552239,0.673134328358209,0.4134328358208955,0.7824858757062146,1.1624513009382789,0.05777678770327466,1.5027330878077143
ACUCAR,MARGARINA COM OU SEM SAL,0.673134328358209,0.5283582089552239,0.4134328358208955,0.614190687361419,1.1624513009382789,0.05777678770327466,1.2224738377080115
PAO CARECA,ACUCAR,0.15970149253731344,0.673134328358209,0.1328358208955224,0.8317757009345794,1.2356756532731001,0.025335263978614395,1.9430348258706465
PAO FRANCES,ACUCAR,0.2,0.673134328358209,0.13880597014925372,0.6940298507462686,1.031042128603104,0.004179104477611911,1.0682926829268289
BOLACHA SALGADA,AGUA,0.29253731343283584,0.6835820895522388,0.21791044776119403,0.7448979591836734,1.08969788788878,0.017937179772777895,1.2403582089552239
AGUA,CAFE,0.6835820895522388,0.5656716417910448,0.4253731343283582,0.6222707423580787,1.1000564574667882,0.03869013143239031,1.1498403934086794
CAFE,AGUA,0.5656716417910448,0.6835820895522388,0.4253731343283582,0.7519788918205804,1.100056457466788,0.03869013143239031,1.275770085741505
BOLACHA SALGADA,CAFE,0.29253731343283584,0.5656716417910448,0.2,0.6836734693877551,1.2086048139572452,0.03451993762530631,1.3730380356283098
BOLACHA SALGADA,CAFE COM LEITE,0.29253731343283584,0.6417910447761194,0.208955223880597,0.7142857142857142,1.112956810631229,0.02120739585653819,1.2537313432835817
BOLACHA SALGADA,MARGARINA COM OU SEM SAL,0.29253731343283584,0.5283582089552239,0.1865671641791045,0.6377551020408163,1.2070506168569122,0.03200267320115838,1.3019970569686776
MARGARINA COM OU SEM SAL,CAFE COM LEITE,0.5283582089552239,0.6417910447761194,0.408955223880597,0.7740112994350282,1.2060176060964394,0.06985965693918467,1.5850746268656717
CAFE COM LEITE,MARGARINA COM OU SEM SAL,0.6417910447761194,0.5283582089552239,0.408955223880597,0.6372093023255815,1.2060176060964396,0.06985965693918467,1.3000382701875242
PAO CARECA,CAFE COM LEITE,0.15970149253731344,0.6417910447761194,0.12985074626865672,0.8130841121495327,1.266898500326016,0.027355758520828694,1.9164179104477612
PAO FRANCES,CAFE COM LEITE,0.2,0.6417910447761194,0.15522388059701492,0.7761194029850745,1.2093023255813953,0.026865671641791045,1.5999999999999994
PAO CARECA,MARGARINA COM OU SEM SAL,0.15970149253731344,0.5283582089552239,0.14776119402985075,0.925233644859813,1.7511484238872166,0.06338159946535976,6.30820895522387
PAO FRANCES,MARGARINA COM OU SEM SAL,0.2,0.5283582089552239,0.1746268656716418,0.8731343283582089,1.6525423728813557,0.06895522388059701,3.717647058823528
"AGUA, BOLACHA SALGADA",ACUCAR,0.21791044776119403,0.673134328358209,0.1701492537313433,0.7808219178082192,1.159979345746135,0.023466250835375374,1.4913246268656717
"ACUCAR, BOLACHA SALGADA",AGUA,0.21343283582089553,0.6835820895522388,0.1701492537313433,0.7972027972027972,1.1662136989647907,0.024250389841835612,1.5602676273803397
"AGUA, ACUCAR",CAFE,0.4746268656716418,0.5656716417910448,0.3074626865671642,0.6477987421383647,1.1451851114319376,0.03897972822454887,1.233182302771855
"AGUA, CAFE",ACUCAR,0.4253731343283582,0.673134328358209,0.3074626865671642,0.7228070175438597,1.0737931302758004,0.021129427489418595,1.1791989419988664
"ACUCAR, CAFE",AGUA,0.39850746268656717,0.6835820895522388,0.3074626865671642,0.7715355805243446,1.1286655872299365,0.035050122521719795,1.3849767555664303
"AGUA, ACUCAR",CAFE COM LEITE,0.4746268656716418,0.6417910447761194,0.3194029850746269,0.6729559748427674,1.0485593096387307,0.01479171307640903,1.0952927669345582
"AGUA, CAFE COM LEITE",ACUCAR,0.43134328358208956,0.673134328358209,0.3194029850746269,0.740484429065744,1.100054473334919,0.029051013588772545,1.2595223880597015
"ACUCAR, CAFE COM LEITE",AGUA,0.4582089552238806,0.6835820895522388,0.3194029850746269,0.6970684039087948,1.019728887814176,0.006179550011138402,1.0445193387899214
"AGUA, MARGARINA COM OU SEM SAL",ACUCAR,0.3537313432835821,0.673134328358209,0.2835820895522388,0.8016877637130801,1.1909773873342875,0.04547337937179771,1.648237535725627
"MARGARINA COM OU SEM SAL, ACUCAR",AGUA,0.4134328358208955,0.6835820895522388,0.2835820895522388,0.6859205776173285,1.003420932322293,0.0009668077522833607,1.0074455309658605
"ACUCAR, BOLACHA SALGADA",CAFE,0.21343283582089553,0.5656716417910448,0.14925373134328357,0.6993006993006992,1.2362307876819747,0.028520828692359085,1.4443943075321062
"BOLACHA SALGADA, CAFE",ACUCAR,0.2,0.673134328358209,0.14925373134328357,0.7462686567164178,1.1086474501108645,0.014626865671641759,1.2882352941176467
"ACUCAR, BOLACHA SALGADA",CAFE COM LEITE,0.21343283582089553,0.6417910447761194,0.15074626865671642,0.7062937062937062,1.1005041470157748,0.013766985965693923,1.2196162046908314
"CAFE COM LEITE, BOLACHA SALGADA",ACUCAR,0.208955223880597,0.673134328358209,0.15074626865671642,0.7214285714285714,1.0717453278428888,0.01009133437291157,1.1733639494833523
"MARGARINA COM OU SEM SAL, BOLACHA SALGADA",ACUCAR,0.1865671641791045,0.673134328358209,0.1537313432835821,0.824,1.2241241685144124,0.0281465805301849,1.8571913161465394
"ACUCAR, BOLACHA SALGADA",MARGARINA COM OU SEM SAL,0.21343283582089553,0.5283582089552239,0.1537313432835821,0.7202797202797203,1.363241278495516,0.04096235241701937,1.6861194029850748
"MARGARINA COM OU SEM SAL, CAFE",ACUCAR,0.3,0.673134328358209,0.22686567164179106,0.7562189054726369,1.123429416112343,0.024925373134328382,1.3408163265306128
"MARGARINA COM OU SEM SAL, ACUCAR",CAFE COM LEITE,0.4134328358208955,0.6417910447761194,0.32985074626865674,0.7978339350180506,1.2431365964234742,0.06451325462241037,1.7718550106609812
"MARGARINA COM OU SEM SAL, CAFE COM LEITE",ACUCAR,0.408955223880597,0.673134328358209,0.32985074626865674,0.8065693430656935,1.1982294010066843,0.054568946313210076,1.689833849619826
"ACUCAR, CAFE COM LEITE",MARGARINA COM OU SEM SAL,0.4582089552238806,0.5283582089552239,0.32985074626865674,0.7198697068403909,1.362465264358932,0.08775228335932281,1.6836515098923983
"PAO CARECA, ACUCAR",CAFE COM LEITE,0.1328358208955224,0.6417910447761194,0.10895522388059702,0.8202247191011235,1.2780245623203552,0.02370238360436623,1.9925373134328348
"PAO CARECA, CAFE COM LEITE",ACUCAR,0.12985074626865672,0.673134328358209,0.10895522388059702,0.8390804597701149,1.2465275122970665,0.02154822900423256,2.0312366737739866
"ACUCAR, PAO FRANCES",CAFE COM LEITE,0.13880597014925372,0.6417910447761194,0.11791044776119403,0.8494623655913979,1.323580895223806,0.02882601915794164,2.37953091684435
"CAFE COM LEITE, PAO FRANCES",ACUCAR,0.15522388059701492,0.673134328358209,0.11791044776119403,0.7596153846153846,1.128475183353232,0.013423925150367569,1.3597611940298504
"PAO CARECA, ACUCAR",MARGARINA COM OU SEM SAL,0.1328358208955224,0.5283582089552239,0.12686567164179105,0.9550561797752809,1.80759220465943,0.056680775228335936,10.49402985074627
"MARGARINA COM OU SEM SAL, PAO FRANCES",ACUCAR,0.1746268656716418,0.673134328358209,0.12835820895522387,0.735042735042735,1.091970360263043,0.010810871018044094,1.2336543090996626
"ACUCAR, PAO FRANCES",MARGARINA COM OU SEM SAL,0.13880597014925372,0.5283582089552239,0.12835820895522387,0.924731182795699,1.750197436364741,0.0550189351748719,6.266098081023459
"AGUA, BOLACHA SALGADA",CAFE,0.21791044776119403,0.5656716417910448,0.16119402985074627,0.7397260273972602,1.3076950880109877,0.037928269102249945,1.668735271013354
"BOLACHA SALGADA, CAFE",AGUA,0.2,0.6835820895522388,0.16119402985074627,0.8059701492537313,1.1790393013100438,0.024477611940298516,1.630769230769231
"AGUA, BOLACHA SALGADA",CAFE COM LEITE,0.21791044776119403,0.6417910447761194,0.14925373134328357,0.684931506849315,1.0672188595093979,0.009400757406994864,1.136924075275795
"CAFE COM LEITE, BOLACHA SALGADA",AGUA,0.208955223880597,0.6835820895522388,0.14925373134328357,0.7142857142857143,1.0449157829070495,0.006415682780129217,1.1074626865671644
"AGUA, BOLACHA SALGADA",MARGARINA COM OU SEM SAL,0.21791044776119403,0.5283582089552239,0.13880597014925372,0.636986301369863,1.2055955421407012,0.02367119625751836,1.2992396508025907
"MARGARINA COM OU SEM SAL, BOLACHA SALGADA",AGUA,0.1865671641791045,0.6835820895522388,0.13880597014925372,0.7439999999999999,1.0883842794759824,0.011271998217865897,1.2360074626865667
"CAFE COM LEITE, CAFE",AGUA,0.30149253731343284,0.6835820895522388,0.2298507462686567,0.7623762376237623,1.11526654848891,0.023755847627533966,1.3315920398009946
"AGUA, MARGARINA COM OU SEM SAL",CAFE,0.3537313432835821,0.5656716417910448,0.21940298507462686,0.620253164556962,1.0964897632009618,0.019307195366451313,1.143731343283582
"MARGARINA COM OU SEM SAL, CAFE",AGUA,0.3,0.6835820895522388,0.21940298507462686,0.7313432835820896,1.069868995633188,0.014328358208955227,1.177777777777778
"AGUA, MARGARINA COM OU SEM SAL",CAFE COM LEITE,0.3537313432835821,0.6417910447761194,0.2791044776119403,0.7890295358649789,1.2294181140221765,0.05208286923591002,1.6979104477611944
"AGUA, CAFE COM LEITE",MARGARINA COM OU SEM SAL,0.43134328358208956,0.5283582089552239,0.2791044776119403,0.6470588235294117,1.2246593552675304,0.05120071285364222,1.3363184079601986
"AGUA, PAO FRANCES",MARGARINA COM OU SEM SAL,0.11641791044776119,0.5283582089552239,0.10298507462686567,0.8846153846153846,1.6742720556279878,0.04147471597237692,4.087562189054725
"CAFE COM LEITE, BOLACHA SALGADA",CAFE,0.208955223880597,0.5656716417910448,0.1253731343283582,0.6,1.0606860158311344,0.007173089775005567,1.085820895522388
"MARGARINA COM OU SEM SAL, BOLACHA SALGADA",CAFE,0.1865671641791045,0.5656716417910448,0.13582089552238805,0.7279999999999999,1.286965699208443,0.030285141456894607,1.5967954345917463
"BOLACHA SALGADA, CAFE",MARGARINA COM OU SEM SAL,0.2,0.5283582089552239,0.13582089552238805,0.6791044776119401,1.2853107344632766,0.030149253731343265,1.4697674418604645
"MARGARINA COM OU SEM SAL, BOLACHA SALGADA",CAFE COM LEITE,0.1865671641791045,0.6417910447761194,0.14776119402985075,0.7919999999999999,1.234046511627907,0.02802405881042548,1.7221584385763486
"CAFE COM LEITE, BOLACHA SALGADA",MARGARINA COM OU SEM SAL,0.208955223880597,0.5283582089552239,0.14776119402985075,0.7071428571428572,1.3383777239709445,0.03735798618846069,1.6104841645431383
"MARGARINA COM OU SEM SAL, CAFE",CAFE COM LEITE,0.3,0.6417910447761194,0.19701492537313434,0.6567164179104478,1.0232558139534884,0.004477611940298526,1.0434782608695654
"CAFE COM LEITE, CAFE",MARGARINA COM OU SEM SAL,0.30149253731343284,0.5283582089552239,0.19701492537313434,0.6534653465346535,1.2367846954186945,0.03771886834484295,1.3610234541577826
"PAO CARECA, MARGARINA COM OU SEM SAL",CAFE COM LEITE,0.14776119402985075,0.6417910447761194,0.1208955223880597,0.8181818181818182,1.2748414376321355,0.0260637112942749,1.970149253731344
"PAO CARECA, CAFE COM LEITE",MARGARINA COM OU SEM SAL,0.12985074626865672,0.5283582089552239,0.1208955223880597,0.9310344827586207,1.7621274108708356,0.05228781465805302,6.8388059701492505
"MARGARINA COM OU SEM SAL, PAO FRANCES",CAFE COM LEITE,0.1746268656716418,0.6417910447761194,0.1373134328358209,0.7863247863247863,1.2252037368316437,0.025239474270438864,1.6764179104477612
"CAFE COM LEITE, PAO FRANCES",MARGARINA COM OU SEM SAL,0.15522388059701492,0.5283582089552239,0.1373134328358209,0.8846153846153847,1.674272055627988,0.055299621296502566,4.087562189054729
"AGUA, ACUCAR, BOLACHA SALGADA",CAFE,0.1701492537313433,0.5656716417910448,0.12388059701492538,0.7280701754385964,1.2870897560524,0.027631989307195362,1.5972075108329318
"AGUA, BOLACHA SALGADA, CAFE",ACUCAR,0.16119402985074627,0.673134328358209,0.12388059701492538,0.7685185185185185,1.1417015685308367,0.015375361995990197,1.4120597014925371
"ACUCAR, BOLACHA SALGADA, CAFE",AGUA,0.14925373134328357,0.6835820895522388,0.12388059701492538,0.8300000000000001,1.2141921397379916,0.021853419469815116,1.8612818261633022
"AGUA, ACUCAR, BOLACHA SALGADA",CAFE COM LEITE,0.1701492537313433,0.6417910447761194,0.11791044776119403,0.6929824561403508,1.0797633618931048,0.008710180441078186,1.1667377398720682
"AGUA, CAFE COM LEITE, BOLACHA SALGADA",ACUCAR,0.14925373134328357,0.673134328358209,0.11791044776119403,0.79,1.1736141906873614,0.017442637558476276,1.5565031982942432
"ACUCAR, CAFE COM LEITE, BOLACHA SALGADA",AGUA,0.15074626865671642,0.6835820895522388,0.11791044776119403,0.7821782178217821,1.1442345107873233,0.014862998440632658,1.452645861601085
"AGUA, MARGARINA COM OU SEM SAL, BOLACHA SALGADA",ACUCAR,0.13880597014925372,0.673134328358209,0.11940298507462686,0.8602150537634409,1.2779248027084376,0.025967921586099355,2.338346727898967
"AGUA, ACUCAR, BOLACHA SALGADA",MARGARINA COM OU SEM SAL,0.1701492537313433,0.5283582089552239,0.11940298507462686,0.7017543859649122,1.3281792050748338,0.02950323011806638,1.5813871817383667
"MARGARINA COM OU SEM SAL, ACUCAR, BOLACHA SALGADA",AGUA,0.1537313432835821,0.6835820895522388,0.11940298507462686,0.7766990291262136,1.1362191037435876,0.01431499220316329,1.4170019467878003
"ACUCAR, CAFE COM LEITE, CAFE",AGUA,0.21343283582089553,0.6835820895522388,0.16865671641791044,0.7902097902097901,1.1559837542370293,0.02275785252840276,1.5082587064676611
"AGUA, MARGARINA COM OU SEM SAL, CAFE",ACUCAR,0.21940298507462686,0.673134328358209,0.16865671641791044,0.7687074829931972,1.1419822918080758,0.02096903541991535,1.4132133450395081
"MARGARINA COM OU SEM SAL, ACUCAR, CAFE",AGUA,0.22686567164179106,0.6835820895522388,0.16865671641791044,0.7434210526315789,1.0875373477361525,0.013575406549342833,1.2332185227707615
"AGUA, MARGARINA COM OU SEM SAL, ACUCAR",CAFE COM LEITE,0.2835820895522388,0.6417910447761194,0.22835820895522388,0.8052631578947369,1.2547123623011018,0.046357763421697507,1.8394513916901984
"AGUA, MARGARINA COM OU SEM SAL, CAFE COM LEITE",ACUCAR,0.2791044776119403,0.673134328358209,0.22835820895522388,0.8181818181818182,1.215480749848821,0.04048340387614169,1.7977611940298512
"AGUA, ACUCAR, CAFE COM LEITE",MARGARINA COM OU SEM SAL,0.3194029850746269,0.5283582089552239,0.22835820895522388,0.7149532710280373,1.353160145731031,0.05959901982624191,1.654612184976755
"MARGARINA COM OU SEM SAL, ACUCAR, CAFE COM LEITE",AGUA,0.32985074626865674,0.6835820895522388,0.22835820895522388,0.6923076923076923,1.0127645280483708,0.0028781465805301776,1.028358208955224
"MARGARINA COM OU SEM SAL, ACUCAR, BOLACHA SALGADA",CAFE,0.1537313432835821,0.5656716417910448,0.10895522388059702,0.7087378640776699,1.252913902195353,0.02199376253063043,1.4911940298507462
"MARGARINA COM OU SEM SAL, BOLACHA SALGADA, CAFE",ACUCAR,0.13582089552238805,0.673134328358209,0.10895522388059702,0.8021978021978022,1.1917350941741185,0.017529516596123867,1.652487562189055
"ACUCAR, BOLACHA SALGADA, CAFE",MARGARINA COM OU SEM SAL,0.14925373134328357,0.5283582089552239,0.10895522388059702,0.7300000000000001,1.3816384180790962,0.030095789708175544,1.7468214483139861
"MARGARINA COM OU SEM SAL, ACUCAR, BOLACHA SALGADA",CAFE COM LEITE,0.1537313432835821,0.6417910447761194,0.1208955223880597,0.7864077669902912,1.225333032287198,0.022232122967253284,1.6770691994572593
"MARGARINA COM OU SEM SAL, CAFE COM LEITE, BOLACHA SALGADA",ACUCAR,0.14776119402985075,0.673134328358209,0.1208955223880597,0.8181818181818182,1.215480749848821,0.021432390287369124,1.7977611940298512
"ACUCAR, CAFE COM LEITE, BOLACHA SALGADA",MARGARINA COM OU SEM SAL,0.15074626865671642,0.5283582089552239,0.1208955223880597,0.8019801980198019,1.5178721261956702,0.04124749387391401,2.3817910447761186
"MARGARINA COM OU SEM SAL, ACUCAR, CAFE",CAFE COM LEITE,0.22686567164179106,0.6417910447761194,0.15223880597014924,0.6710526315789473,1.045593635250918,0.006638449543328123,1.088955223880597
"MARGARINA COM OU SEM SAL, CAFE COM LEITE, CAFE",ACUCAR,0.19701492537313434,0.673134328358209,0.15223880597014924,0.7727272727272726,1.147954041523886,0.019621296502561808,1.4382089552238797
"ACUCAR, CAFE COM LEITE, CAFE",MARGARINA COM OU SEM SAL,0.21343283582089553,0.5283582089552239,0.15223880597014924,0.7132867132867132,1.3500059262771125,0.03946981510358652,1.6449945394976333
"PAO CARECA, MARGARINA COM OU SEM SAL, ACUCAR",CAFE COM LEITE,0.12686567164179105,0.6417910447761194,0.1044776119402985,0.8235294117647058,1.283173734610123,0.02305635999108932,2.0298507462686564
"PAO CARECA, MARGARINA COM OU SEM SAL, CAFE COM LEITE",ACUCAR,0.1208955223880597,0.673134328358209,0.1044776119402985,0.8641975308641975,1.2838411212394951,0.023098685676097117,2.4069199457259147
"PAO CARECA, ACUCAR, CAFE COM LEITE",MARGARINA COM OU SEM SAL,0.10895522388059702,0.5283582089552239,0.1044776119402985,0.958904109589041,1.8148750096741737,0.04691022499443082,11.47661691542287
"MARGARINA COM OU SEM SAL, CAFE COM LEITE, PAO FRANCES",ACUCAR,0.1373134328358209,0.673134328358209,0.11044776119402985,0.8043478260869565,1.194929142967319,0.018017375807529518,1.6706467661691544
"ACUCAR, CAFE COM LEITE, PAO FRANCES",MARGARINA COM OU SEM SAL,0.11791044776119403,0.5283582089552239,0.11044776119402985,0.9367088607594937,1.772867052849889,0.04814880819781689,7.451940298507462
"AGUA, MARGARINA COM OU SEM SAL, BOLACHA SALGADA",CAFE,0.13880597014925372,0.5656716417910448,0.10597014925373134,0.7634408602150538,1.3496184072403326,0.02745154822900424,1.836024423337856
"AGUA, BOLACHA SALGADA, CAFE",MARGARINA COM OU SEM SAL,0.16119402985074627,0.5283582089552239,0.10597014925373134,0.6574074074074074,1.2442456580874661,0.02080196034751615,1.3766841468334006
"MARGARINA COM OU SEM SAL, BOLACHA SALGADA, CAFE",AGUA,0.13582089552238805,0.6835820895522388,0.10597014925373134,0.7802197802197803,1.141369547483085,0.01312541768768101,1.4397014925373144
"AGUA, MARGARINA COM OU SEM SAL, BOLACHA SALGADA",CAFE COM LEITE,0.13880597014925372,0.6417910447761194,0.10895522388059702,0.7849462365591399,1.2230557639409854,0.01987079527734463,1.6656716417910455
"AGUA, CAFE COM LEITE, BOLACHA SALGADA",MARGARINA COM OU SEM SAL,0.14925373134328357,0.5283582089552239,0.10895522388059702,0.7300000000000001,1.3816384180790962,0.030095789708175544,1.7468214483139861
"MARGARINA COM OU SEM SAL, CAFE COM LEITE, BOLACHA SALGADA",AGUA,0.14776119402985075,0.6835820895522388,0.10895522388059702,0.7373737373737373,1.078690838516166,0.007948318110937852,1.204822043628014
"AGUA, MARGARINA COM OU SEM SAL, CAFE",CAFE COM LEITE,0.21940298507462686,0.6417910447761194,0.15074626865671642,0.6870748299319729,1.070558455940516,0.009935397638672322,1.1447112264763146
"AGUA, CAFE COM LEITE, CAFE",MARGARINA COM OU SEM SAL,0.2298507462686567,0.5283582089552239,0.15074626865671642,0.6558441558441559,1.2412869616259448,0.029302740031187352,1.3704308645451988
"MARGARINA COM OU SEM SAL, CAFE COM LEITE, CAFE",AGUA,0.19701492537313434,0.6835820895522388,0.15074626865671642,0.7651515151515151,1.1193264522958846,0.01607039429717086,1.3473278767453059
"AGUA, MARGARINA COM OU SEM SAL, CAFE COM LEITE, CAFE",ACUCAR,0.15074626865671642,0.673134328358209,0.11791044776119403,0.7821782178217821,1.1619942482053083,0.01643795945644909,1.5006105834464036
"MARGARINA COM OU SEM SAL, ACUCAR, CAFE COM LEITE, CAFE",AGUA,0.15223880597014924,0.6835820895522388,0.11791044776119403,0.7745098039215687,1.1330165253874476,0.013842726665181562,1.40324464633355
"AGUA, MARGARINA COM OU SEM SAL, ACUCAR, CAFE",CAFE COM LEITE,0.16865671641791044,0.6417910447761194,0.11791044776119403,0.6991150442477876,1.0893187898744598,0.009668077522833593,1.1905179982440737
"AGUA, ACUCAR, CAFE COM LEITE, CAFE",MARGARINA COM OU SEM SAL,0.16865671641791044,0.5283582089552239,0.11791044776119403,0.6991150442477876,1.3231838408079595,0.028799287146357766,1.5675153643546968
ACAI,AGUA,0.22466960352422907,0.7180616740088106,0.16886930983847284,0.7516339869281046,1.0467540799550903,0.007542678232969141,1.1351727335961046
ACAI,FARINHA DE MANDIOCA,0.22466960352422907,0.5844346549192364,0.18502202643171806,0.8235294117647058,1.4091043452556902,0.05371732422519357,2.3548702887909934
ACUCAR,AGUA,0.37298091042584436,0.7180616740088106,0.30983847283406757,0.8307086614173229,1.1568764793971307,0.04201517592035553,1.665403134924701
CAFE,ACUCAR,0.24375917767988253,0.37298091042584436,0.1512481644640235,0.6204819277108434,1.6635755620908834,0.060330644448325754,1.652145537608093
CAFE COM LEITE,ACUCAR,0.16740088105726872,0.37298091042584436,0.12187958883994127,0.7280701754385965,1.9520306672192291,0.059442255817112696,2.3058121358533468
ACUCAR,FARINHA DE MANDIOCA,0.37298091042584436,0.5844346549192364,0.2687224669603524,0.7204724409448818,1.2327681715664938,0.05073949728416144,1.4866703894438582
ARROZ BRANCO,AGUA,0.5550660792951542,0.7180616740088106,0.42290748898678415,0.761904761904762,1.061057551855098,0.024335810902598565,1.1841409691629958
BIFE,AGUA,0.14390602055800295,0.7180616740088106,0.10719530102790015,0.7448979591836734,1.0373732315011892,0.003861903006074238,1.1051982378854621
CAFE,AGUA,0.24375917767988253,0.7180616740088106,0.21585903083700442,0.8855421686746988,1.2332397072954393,0.04082490765717686,2.463250637607234
CAFE COM LEITE,AGUA,0.16740088105726872,0.7180616740088106,0.12187958883994127,0.7280701754385965,1.0139382197825852,0.0016754319574091014,1.0368054568708256
CARNE BOVINA,AGUA,0.3069016152716593,0.7180616740088106,0.2290748898678414,0.7464114832535885,1.0394810226905804,0.008700602249865769,1.111794530795445
AGUA,FARINHA DE MANDIOCA,0.7180616740088106,0.5844346549192364,0.4713656387665198,0.656441717791411,1.1232080648641982,0.05170551210645136,1.2095919865743654
FARINHA DE MANDIOCA,AGUA,0.5844346549192364,0.7180616740088106,0.4713656387665198,0.8065326633165829,1.1232080648641982,0.05170551210645136,1.4572916070713426
FRANGO EM PEDACOS,AGUA,0.32158590308370044,0.7180616740088106,0.23348017621145375,0.726027397260274,1.0110933691906883,0.0025616643055366983,1.0290748898678415
MACARRAO,AGUA,0.1894273127753304,0.7180616740088106,0.15418502202643172,0.813953488372093,1.133542588101013,0.018164528711987427,1.515418502202643
PEIXE DE AGUA DOCE,AGUA,0.2011747430249633,0.7180616740088106,0.1644640234948605,0.8175182481751825,1.138507008194886,0.02000815075006307,1.5450220264317178
ARROZ,FARINHA DE MANDIOCA,0.30983847283406757,0.5844346549192364,0.19676945668135096,0.6350710900473934,1.0866417395032033,0.015689115729869474,1.1387569845719625
ARROZ,FEIJAO PRETO,0.30983847283406757,0.5183553597650514,0.22026431718061673,0.7109004739336492,1.3714538888068415,0.05965788412565953,1.6660167063864608
CARNE BOVINA,ARROZ BRANCO,0.3069016152716593,0.5550660792951542,0.1894273127753304,0.6172248803827751,1.111984506721349,0.01907663645714064,1.1623898678414097
FEIJAO PRETO,ARROZ BRANCO,0.5183553597650514,0.5550660792951542,0.32599118942731276,0.6288951841359772,1.1330095777687843,0.03826971220089653,1.1989440764031338
CAFE,FARINHA DE MANDIOCA,0.24375917767988253,0.5844346549192364,0.1762114537444934,0.7228915662650602,1.236907428709814,0.03375014285375441,1.4996488539871033
CAFE COM LEITE,FARINHA DE MANDIOCA,0.16740088105726872,0.5844346549192364,0.11160058737151249,0.6666666666666667,1.1407035175879399,0.01376571121763151,1.2466960352422911
CARNE BOVINA,FEIJAO PRETO,0.3069016152716593,0.5183553597650514,0.2026431718061674,0.6602870813397129,1.273811621508058,0.043559074609551024,1.4177990113958345
