antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
AGUA MINERAL,ACUCAR,0.1958997722095672,0.7190584662110858,0.1419893697798026,0.7248062015503877,1.0079934186292085,0.0011259800436901057,1.0208861368667588
BOLACHA SALGADA,ACUCAR,0.15413819286256644,0.7190584662110858,0.1252847380410023,0.8128078817733991,1.1303780150956353,0.014450365496696732,1.500819246293411
CAFE,ACUCAR,0.5960516324981018,0.7190584662110858,0.48899012908124523,0.8203821656050955,1.1409116284075087,0.060394156434546376,1.5641071207396988
CAFE COM LEITE,ACUCAR,0.5535307517084282,0.7190584662110858,0.4472285497342445,0.8079561042524005,1.1236306117216595,0.0492075764101127,1.4629027009437028
MARGARINA COM OU SEM SAL,ACUCAR,0.5406226271829917,0.7190584662110858,0.4403948367501898,0.8146067415730336,1.1328797029056865,0.05165555964898011,1.5153816064977785
PAO FRANCES,ACUCAR,0.45709946848899013,0.7190584662110858,0.3675018982536067,0.8039867109634552,1.1181103467147524,0.038820655536010884,1.4332779944146303
MARGARINA COM OU SEM SAL,PAO FRANCES,0.5406226271829917,0.45709946848899013,0.39483675018982534,0.7303370786516853,1.5977640076150657,0.14771843465135837,2.0132561376866605
PAO FRANCES,MARGARINA COM OU SEM SAL,0.45709946848899013,0.5406226271829917,0.39483675018982534,0.8637873754152823,1.5977640076150654,0.14771843465135837,3.3725021760468143
"ACUCAR, AGUA MINERAL",CAFE,0.1419893697798026,0.5960516324981018,0.11161731207289294,0.7860962566844919,1.3188391975203513,0.026984316418264973,1.8884586180713734
"CAFE, AGUA MINERAL",ACUCAR,0.12908124525436598,0.7190584662110858,0.11161731207289294,0.8647058823529412,1.2025529535996025,0.01880034984367153,2.0765243801789315
"CAFE COM LEITE, CAFE",ACUCAR,0.26879271070615035,0.7190584662110858,0.23614274867122248,0.8785310734463276,1.221779750505611,0.04286507438213791,2.312867510727339
"MARGARINA COM OU SEM SAL, CAFE",ACUCAR,0.340167046317388,0.7190584662110858,0.30068337129840544,0.8839285714285714,1.2292860914165031,0.05608337671786906,2.420419368027568
"PAO FRANCES, CAFE",ACUCAR,0.2862566438876234,0.7190584662110858,0.24829157175398633,0.8673740053050397,1.2062635321929644,0.04245630845741885,2.1182991647684117
"CAFE COM LEITE, MARGARINA COM OU SEM SAL",ACUCAR,0.3424449506454062,0.7190584662110858,0.2953682611996963,0.8625277161862528,1.1995237615810928,0.04913032022687952,2.0436230925612953
"CAFE COM LEITE, PAO FRANCES",ACUCAR,0.30296127562642367,0.7190584662110858,0.25740318906605925,0.8496240601503761,1.1815785503886433,0.03955631889276903,1.8682611996962808
"PAO FRANCES, ACUCAR",CAFE COM LEITE,0.3675018982536067,0.5535307517084282,0.25740318906605925,0.7004132231404959,1.2653555759616366,0.05397958707146602,1.490283559814626
"MARGARINA COM OU SEM SAL, PAO FRANCES",ACUCAR,0.39483675018982534,0.7190584662110858,0.33029612756264237,0.8365384615384616,1.1633803102916092,0.046385419567376907,1.7187011478851224
"MARGARINA COM OU SEM SAL, ACUCAR",PAO FRANCES,0.4403948367501898,0.45709946848899013,0.33029612756264237,0.75,1.64078073089701,0.12899188175883503,2.1716021260440392
"PAO FRANCES, ACUCAR",MARGARINA COM OU SEM SAL,0.3675018982536067,0.5406226271829917,0.33029612756264237,0.8987603305785123,1.6624541508032313,0.13161628583404103,4.53752343762106
PAO FRANCES,"MARGARINA COM OU SEM SAL, ACUCAR",0.45709946848899013,0.4403948367501898,0.33029612756264237,0.7225913621262459,1.6407807308970102,0.12899188175883503,2.017259330996322
"MARGARINA COM OU SEM SAL, CAFE",PAO FRANCES,0.340167046317388,0.45709946848899013,0.25208807896735,0.7410714285714286,1.6212476269577598,0.0965979028982023,2.0967192941114865
"PAO FRANCES, CAFE",MARGARINA COM OU SEM SAL,0.2862566438876234,0.5406226271829917,0.25208807896735,0.8806366047745358,1.6289303490000893,0.09733126010023699,3.8485615456002678
"CAFE COM LEITE, MARGARINA COM OU SEM SAL",PAO FRANCES,0.3424449506454062,0.45709946848899013,0.2619589977220957,0.7649667405764968,1.6735235836200104,0.10542759279534206,2.3098881104855242
"CAFE COM LEITE, PAO FRANCES",MARGARINA COM OU SEM SAL,0.30296127562642367,0.5406226271829917,0.2619589977220957,0.8646616541353385,1.5993811776632594,0.09817127695822805,3.3942883658145644
"CAFE COM LEITE, MARGARINA COM OU SEM SAL, CAFE",ACUCAR,0.1791951404707669,0.7190584662110858,0.16552771450265755,0.9237288135593219,1.2846365865444846,0.03667593164326782,3.683455665232424
